Competitive cluster ,0: Average distance in clusters:, 0.470128, Average distance between clusters:, 0.346441, Davies-Bouldin index:, 12.067488, 
Competitive cluster ,0: Average distance in clusters:, 0.465629, Average distance between clusters:, 0.349541, Davies-Bouldin index:, 12.481379, 
Competitive cluster ,0: Average distance in clusters:, 0.467300, Average distance between clusters:, 0.354526, Davies-Bouldin index:, 9.010693, 
Competitive cluster ,0: Average distance in clusters:, 0.462746, Average distance between clusters:, 0.364265, Davies-Bouldin index:, 7.227453, 
Competitive cluster ,0: Average distance in clusters:, 0.465606, Average distance between clusters:, 0.356066, Davies-Bouldin index:, 9.103399, 
Competitive cluster ,0: Average distance in clusters:, 0.463967, Average distance between clusters:, 0.372525, Davies-Bouldin index:, 9.040876, 
Competitive cluster ,0: Average distance in clusters:, 0.469361, Average distance between clusters:, 0.342301, Davies-Bouldin index:, 9.836861, 
Competitive cluster ,0: Average distance in clusters:, 0.465041, Average distance between clusters:, 0.366470, Davies-Bouldin index:, 9.216687, 
Competitive cluster ,0: Average distance in clusters:, 0.467110, Average distance between clusters:, 0.355777, Davies-Bouldin index:, 6.600997, 
Competitive cluster ,0: Average distance in clusters:, 0.465039, Average distance between clusters:, 0.361466, Davies-Bouldin index:, 6.983032, 
Competitive cluster ,0: Average distance in clusters:, 0.468931, Average distance between clusters:, 0.346983, Davies-Bouldin index:, 10.006146, 
Competitive cluster ,0: Average distance in clusters:, 0.459501, Average distance between clusters:, 0.386324, Davies-Bouldin index:, 4.822478, 
Competitive cluster ,0: Average distance in clusters:, 0.463010, Average distance between clusters:, 0.372426, Davies-Bouldin index:, 8.348382, 
Competitive cluster ,0: Average distance in clusters:, 0.467293, Average distance between clusters:, 0.357107, Davies-Bouldin index:, 9.715079, 
Competitive cluster ,0: Average distance in clusters:, 0.466707, Average distance between clusters:, 0.351052, Davies-Bouldin index:, 11.260223, 
Competitive cluster ,0: Average distance in clusters:, 0.465248, Average distance between clusters:, 0.359523, Davies-Bouldin index:, 11.853017, 
Competitive cluster ,0: Average distance in clusters:, 0.466716, Average distance between clusters:, 0.359175, Davies-Bouldin index:, 8.475782, 
Competitive cluster ,0: Average distance in clusters:, 0.466988, Average distance between clusters:, 0.360891, Davies-Bouldin index:, 5.865661, 
Competitive cluster ,0: Average distance in clusters:, 0.467183, Average distance between clusters:, 0.356487, Davies-Bouldin index:, 9.747818, 
Competitive cluster ,0: Average distance in clusters:, 0.462633, Average distance between clusters:, 0.363388, Davies-Bouldin index:, 9.779403, 
Competitive cluster ,0: Average distance in clusters:, 0.468569, Average distance between clusters:, 0.349931, Davies-Bouldin index:, 7.831101, 
Competitive cluster ,0: Average distance in clusters:, 0.467384, Average distance between clusters:, 0.349751, Davies-Bouldin index:, 10.722971, 
Competitive cluster ,0: Average distance in clusters:, 0.465286, Average distance between clusters:, 0.366408, Davies-Bouldin index:, 6.837423, 
Competitive cluster ,0: Average distance in clusters:, 0.462052, Average distance between clusters:, 0.368312, Davies-Bouldin index:, 13.907867, 
Competitive cluster ,0: Average distance in clusters:, 0.463179, Average distance between clusters:, 0.364921, Davies-Bouldin index:, 7.223458, 
Competitive cluster ,0: Average distance in clusters:, 0.469559, Average distance between clusters:, 0.353344, Davies-Bouldin index:, 10.224953, 
Competitive cluster ,0: Average distance in clusters:, 0.470536, Average distance between clusters:, 0.345054, Davies-Bouldin index:, 7.340125, 
Competitive cluster ,0: Average distance in clusters:, 0.463720, Average distance between clusters:, 0.375901, Davies-Bouldin index:, 5.216538, 
Competitive cluster ,0: Average distance in clusters:, 0.465958, Average distance between clusters:, 0.361510, Davies-Bouldin index:, 6.208342, 
Competitive cluster ,0: Average distance in clusters:, 0.468941, Average distance between clusters:, 0.355090, Davies-Bouldin index:, 5.854825, 
Competitive cluster ,0: Average distance in clusters:, 0.469020, Average distance between clusters:, 0.355274, Davies-Bouldin index:, 6.874211, 
Competitive cluster ,0: Average distance in clusters:, 0.470788, Average distance between clusters:, 0.343612, Davies-Bouldin index:, 7.704273, 
Competitive cluster ,0: Average distance in clusters:, 0.462587, Average distance between clusters:, 0.369185, Davies-Bouldin index:, 6.774359, 
Competitive cluster ,0: Average distance in clusters:, 0.463209, Average distance between clusters:, 0.370235, Davies-Bouldin index:, 5.879399, 
Competitive cluster ,0: Average distance in clusters:, 0.466700, Average distance between clusters:, 0.355725, Davies-Bouldin index:, 8.322392, 
Competitive cluster ,0: Average distance in clusters:, 0.466634, Average distance between clusters:, 0.355474, Davies-Bouldin index:, 7.381495, 
Competitive cluster ,0: Average distance in clusters:, 0.462655, Average distance between clusters:, 0.370494, Davies-Bouldin index:, 8.252379, 
Competitive cluster ,0: Average distance in clusters:, 0.468568, Average distance between clusters:, 0.355106, Davies-Bouldin index:, 7.019464, 
Competitive cluster ,0: Average distance in clusters:, 0.467376, Average distance between clusters:, 0.356025, Davies-Bouldin index:, 7.682220, 
Competitive cluster ,0: Average distance in clusters:, 0.465408, Average distance between clusters:, 0.363794, Davies-Bouldin index:, 6.320244, 
Competitive cluster ,0: Average distance in clusters:, 0.460780, Average distance between clusters:, 0.377895, Davies-Bouldin index:, 6.992083, 
Competitive cluster ,0: Average distance in clusters:, 0.465470, Average distance between clusters:, 0.352018, Davies-Bouldin index:, 9.620466, 
Competitive cluster ,0: Average distance in clusters:, 0.464282, Average distance between clusters:, 0.362918, Davies-Bouldin index:, 7.942615, 
Competitive cluster ,0: Average distance in clusters:, 0.464057, Average distance between clusters:, 0.367282, Davies-Bouldin index:, 6.027030, 
Competitive cluster ,0: Average distance in clusters:, 0.463510, Average distance between clusters:, 0.375099, Davies-Bouldin index:, 6.251562, 
Competitive cluster ,0: Average distance in clusters:, 0.463524, Average distance between clusters:, 0.366338, Davies-Bouldin index:, 7.948196, 
Competitive cluster ,0: Average distance in clusters:, 0.465745, Average distance between clusters:, 0.359086, Davies-Bouldin index:, 6.715548, 
Competitive cluster ,0: Average distance in clusters:, 0.468496, Average distance between clusters:, 0.351540, Davies-Bouldin index:, 10.204117, 
Competitive cluster ,0: Average distance in clusters:, 0.472109, Average distance between clusters:, 0.333998, Davies-Bouldin index:, 10.059472, 
Competitive cluster ,0: Average distance in clusters:, 0.468597, Average distance between clusters:, 0.349233, Davies-Bouldin index:, 7.823359, 
Competitive cluster ,0: Average distance in clusters:, 0.461148, Average distance between clusters:, 0.373783, Davies-Bouldin index:, 6.149772, 
Competitive cluster ,0: Average distance in clusters:, 0.468330, Average distance between clusters:, 0.350844, Davies-Bouldin index:, 8.169623, 
Competitive cluster ,0: Average distance in clusters:, 0.467416, Average distance between clusters:, 0.364679, Davies-Bouldin index:, 5.294974, 
Competitive cluster ,0: Average distance in clusters:, 0.466236, Average distance between clusters:, 0.367156, Davies-Bouldin index:, 6.010989, 
Competitive cluster ,0: Average distance in clusters:, 0.466653, Average distance between clusters:, 0.349586, Davies-Bouldin index:, 9.655137, 
Competitive cluster ,0: Average distance in clusters:, 0.468207, Average distance between clusters:, 0.359579, Davies-Bouldin index:, 5.459941, 
Competitive cluster ,0: Average distance in clusters:, 0.472590, Average distance between clusters:, 0.342632, Davies-Bouldin index:, 6.974120, 
Competitive cluster ,0: Average distance in clusters:, 0.468591, Average distance between clusters:, 0.351570, Davies-Bouldin index:, 8.407825, 
Competitive cluster ,0: Average distance in clusters:, 0.463586, Average distance between clusters:, 0.357635, Davies-Bouldin index:, 9.468533, 
Competitive cluster ,0: Average distance in clusters:, 0.467777, Average distance between clusters:, 0.351904, Davies-Bouldin index:, 6.380360, 
Competitive cluster ,0: Average distance in clusters:, 0.464899, Average distance between clusters:, 0.363631, Davies-Bouldin index:, 8.210845, 
Competitive cluster ,0: Average distance in clusters:, 0.458627, Average distance between clusters:, 0.385157, Davies-Bouldin index:, 6.919363, 
Competitive cluster ,0: Average distance in clusters:, 0.465662, Average distance between clusters:, 0.358478, Davies-Bouldin index:, 7.653959, 
Competitive cluster ,0: Average distance in clusters:, 0.466277, Average distance between clusters:, 0.348472, Davies-Bouldin index:, 9.805902, 
Competitive cluster ,0: Average distance in clusters:, 0.469509, Average distance between clusters:, 0.348703, Davies-Bouldin index:, 8.457773, 
Competitive cluster ,0: Average distance in clusters:, 0.468267, Average distance between clusters:, 0.353637, Davies-Bouldin index:, 7.859188, 
Competitive cluster ,0: Average distance in clusters:, 0.463087, Average distance between clusters:, 0.365671, Davies-Bouldin index:, 7.061755, 
Competitive cluster ,0: Average distance in clusters:, 0.463264, Average distance between clusters:, 0.358715, Davies-Bouldin index:, 8.641233, 
Competitive cluster ,0: Average distance in clusters:, 0.465387, Average distance between clusters:, 0.354969, Davies-Bouldin index:, 9.670012, 
Competitive cluster ,0: Average distance in clusters:, 0.460983, Average distance between clusters:, 0.378629, Davies-Bouldin index:, 6.197151, 
Competitive cluster ,0: Average distance in clusters:, 0.468093, Average distance between clusters:, 0.349055, Davies-Bouldin index:, 11.455863, 
Competitive cluster ,0: Average distance in clusters:, 0.470894, Average distance between clusters:, 0.342810, Davies-Bouldin index:, 8.541406, 
Competitive cluster ,0: Average distance in clusters:, 0.463383, Average distance between clusters:, 0.372734, Davies-Bouldin index:, 5.763471, 
Competitive cluster ,0: Average distance in clusters:, 0.464905, Average distance between clusters:, 0.354615, Davies-Bouldin index:, 9.975267, 
Competitive cluster ,0: Average distance in clusters:, 0.463798, Average distance between clusters:, 0.365905, Davies-Bouldin index:, 9.693734, 
Competitive cluster ,0: Average distance in clusters:, 0.465057, Average distance between clusters:, 0.362725, Davies-Bouldin index:, 9.811783, 
Competitive cluster ,0: Average distance in clusters:, 0.464114, Average distance between clusters:, 0.372347, Davies-Bouldin index:, 5.784343, 
Competitive cluster ,0: Average distance in clusters:, 0.467886, Average distance between clusters:, 0.358322, Davies-Bouldin index:, 6.046157, 
Competitive cluster ,0: Average distance in clusters:, 0.462442, Average distance between clusters:, 0.367018, Davies-Bouldin index:, 7.339580, 
Competitive cluster ,0: Average distance in clusters:, 0.468771, Average distance between clusters:, 0.353515, Davies-Bouldin index:, 9.158635, 
Competitive cluster ,0: Average distance in clusters:, 0.466524, Average distance between clusters:, 0.371016, Davies-Bouldin index:, 5.095101, 
Competitive cluster ,0: Average distance in clusters:, 0.468720, Average distance between clusters:, 0.344751, Davies-Bouldin index:, 8.558692, 
Competitive cluster ,0: Average distance in clusters:, 0.465662, Average distance between clusters:, 0.357648, Davies-Bouldin index:, 8.532483, 
Competitive cluster ,0: Average distance in clusters:, 0.469520, Average distance between clusters:, 0.348388, Davies-Bouldin index:, 11.228801, 
Competitive cluster ,0: Average distance in clusters:, 0.469978, Average distance between clusters:, 0.344338, Davies-Bouldin index:, 11.301186, 
Competitive cluster ,0: Average distance in clusters:, 0.464548, Average distance between clusters:, 0.365438, Davies-Bouldin index:, 7.033217, 
Competitive cluster ,0: Average distance in clusters:, 0.468045, Average distance between clusters:, 0.352548, Davies-Bouldin index:, 9.499238, 
Competitive cluster ,0: Average distance in clusters:, 0.466303, Average distance between clusters:, 0.352650, Davies-Bouldin index:, 7.728112, 
Competitive cluster ,0: Average distance in clusters:, 0.467920, Average distance between clusters:, 0.355868, Davies-Bouldin index:, 6.644413, 
Competitive cluster ,0: Average distance in clusters:, 0.466194, Average distance between clusters:, 0.358842, Davies-Bouldin index:, 10.346403, 
Competitive cluster ,0: Average distance in clusters:, 0.467590, Average distance between clusters:, 0.357925, Davies-Bouldin index:, 7.182071, 
Competitive cluster ,0: Average distance in clusters:, 0.463005, Average distance between clusters:, 0.372769, Davies-Bouldin index:, 5.126616, 
Competitive cluster ,0: Average distance in clusters:, 0.462324, Average distance between clusters:, 0.371977, Davies-Bouldin index:, 5.407784, 
Competitive cluster ,0: Average distance in clusters:, 0.464894, Average distance between clusters:, 0.365460, Davies-Bouldin index:, 7.091375, 
Competitive cluster ,0: Average distance in clusters:, 0.461085, Average distance between clusters:, 0.382098, Davies-Bouldin index:, 5.622729, 
Competitive cluster ,0: Average distance in clusters:, 0.466376, Average distance between clusters:, 0.356144, Davies-Bouldin index:, 7.873098, 
Competitive cluster ,0: Average distance in clusters:, 0.464267, Average distance between clusters:, 0.364477, Davies-Bouldin index:, 7.005516, 
Competitive cluster ,0: Average distance in clusters:, 0.471499, Average distance between clusters:, 0.343238, Davies-Bouldin index:, 6.814203, 
Competitive cluster ,0: Average distance in clusters:, 0.467331, Average distance between clusters:, 0.350597, Davies-Bouldin index:, 8.406521, 
Competitive cluster ,0: Average distance in clusters:, 0.468056, Average distance between clusters:, 0.347199, Davies-Bouldin index:, 8.899142, 
